,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
0,Sylvenstein,Isar,2021-07-27 23:00:00,255,0,184,0,---,
1,Lenggries,Isar,2021-07-27 23:00:00,119,0,236,0,---,
2,Bad Tölz Brücke,Isar,2021-07-27 23:00:00,67,-1,---,0,---,
3,Puppling,Isar,2021-07-27 23:00:00,148,0,513,0,---,
4,München,Isar,2021-07-27 23:00:00,170,0,153,0,---,
5,Freising,Isar,2021-07-27 23:00:00,79,-8,534,0,---,
6,Landshut Birket,Isar,2021-07-27 23:00:00,165,-3,258,0,---,
7,Landau,Isar,2021-07-27 23:00:00,161,2,317,0,---,
8,Plattling,Isar,2021-07-27 23:00:00,254,0,299,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-27 23:00:00,102,0,906,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-27 23:00:00,171,0,345,0,---,
11,Schlehdorf,Loisach,2021-07-27 23:00:00,124,0,310,0,---,
12,Kochel,Loisach,2021-07-27 23:00:00,150,0,842,0,---,
13,Beuerberg,Loisach,2021-07-27 23:00:00,374,-2,936,0,---,
14,Partenkirchen (alt),Partnach,2021-07-27 23:00:00,51,0,383,0,---,
15,Stegen,Ammersee,2021-07-27 23:00:00,53327,1,---,0,---,
16,Stegen,Amper,2021-07-27 23:00:00,150,0,361,0,---,
17,Fürstenfeldbruck,Amper,2021-07-27 23:00:00,102,1,383,0,---,
18,Ampermoching,Amper,2021-07-27 23:00:00,226,0,532,0,---,
19,Inkofen,Amper,2021-07-27 23:00:00,126,-1,611,0,---,
20,Oberammergau,Ammer,2021-07-27 23:00:00,51,0,432,0,---,
21,Peißenberg,Ammer,2021-07-27 23:00:00,80,-1,125,0,---,
22,Weilheim,Ammer,2021-07-27 23:00:00,79,-3,236,0,---,
23,Raisting,Rott,2021-07-27 23:00:00,45,0,062,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-27 23:00:00,62505,0,---,0,---,
25,Leutstetten,Würm,2021-07-27 23:00:00,144,-1,625,0,---,
26,Hohenkammer,Glonn,2021-07-27 23:00:00,53,-3,394,0,---,
27,Berg,Sempt,2021-07-27 23:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-27 23:00:00,141,-1,193,0,---,
29,Starnberg,Starnberger See,2021-07-27 23:00:00,58445,1,---,0,---,
30,Eching,Windach,2021-07-27 23:00:00,76,-2,122,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-27 23:00:00,26,-4,049,0,---,
0,Sylvenstein,Isar,2021-07-26 00:00:00,262,0,246,0,---,
1,Lenggries,Isar,2021-07-26 00:00:00,125,0,286,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 00:00:00,72,-1,---,0,---,
3,Puppling,Isar,2021-07-26 00:00:00,155,-2,589,0,---,
4,München,Isar,2021-07-26 00:00:00,157,0,131,0,---,
5,Freising,Isar,2021-07-26 00:00:00,59,-4,355,0,---,
6,Landshut Birket,Isar,2021-07-26 00:00:00,147,1,214,0,---,
7,Landau,Isar,2021-07-26 00:00:00,135,0,247,0,---,
8,Plattling,Isar,2021-07-26 00:00:00,226,3,240,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 00:00:00,114,0,134,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 00:00:00,174,-1,363,0,---,
11,Schlehdorf,Loisach,2021-07-26 00:00:00,136,0,380,0,---,
12,Kochel,Loisach,2021-07-26 00:00:00,139,2,779,0,---,
13,Beuerberg,Loisach,2021-07-26 00:00:00,381,5,101,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 00:00:00,58,-2,547,0,---,
15,Stegen,Ammersee,2021-07-26 00:00:00,53320,0,---,0,---,
16,Stegen,Amper,2021-07-26 00:00:00,145,0,337,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 00:00:00,97,1,356,0,---,
18,Ampermoching,Amper,2021-07-26 00:00:00,223,0,515,0,---,
19,Inkofen,Amper,2021-07-26 00:00:00,123,1,593,0,---,
20,Oberammergau,Ammer,2021-07-26 00:00:00,54,0,521,0,---,
21,Peißenberg,Ammer,2021-07-26 00:00:00,95,-10,216,0,---,
22,Weilheim,Ammer,2021-07-26 00:00:00,149,-8,648,0,---,
23,Raisting,Rott,2021-07-26 00:00:00,41,-1,042,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 00:00:00,62511,0,---,0,---,
25,Leutstetten,Würm,2021-07-26 00:00:00,142,0,600,0,---,
26,Hohenkammer,Glonn,2021-07-26 00:00:00,49,-2,321,0,---,
27,Berg,Sempt,2021-07-26 00:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 00:00:00,149,0,233,0,---,
29,Starnberg,Starnberger See,2021-07-26 00:00:00,58446,-2,---,0,---,
30,Eching,Windach,2021-07-26 00:00:00,75,3,115,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 00:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 01:00:00,262,0,246,0,---,
1,Lenggries,Isar,2021-07-26 01:00:00,124,-1,278,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 01:00:00,72,-1,---,0,---,
3,Puppling,Isar,2021-07-26 01:00:00,156,0,601,0,---,
4,München,Isar,2021-07-26 01:00:00,159,3,135,0,---,
5,Freising,Isar,2021-07-26 01:00:00,57,-3,340,0,---,
6,Landshut Birket,Isar,2021-07-26 01:00:00,148,1,217,0,---,
7,Landau,Isar,2021-07-26 01:00:00,134,-1,244,0,---,
8,Plattling,Isar,2021-07-26 01:00:00,226,1,240,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 01:00:00,115,1,137,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 01:00:00,174,-1,363,0,---,
11,Schlehdorf,Loisach,2021-07-26 01:00:00,134,-2,371,0,---,
12,Kochel,Loisach,2021-07-26 01:00:00,138,0,774,0,---,
13,Beuerberg,Loisach,2021-07-26 01:00:00,382,3,102,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 01:00:00,58,-2,547,0,---,
15,Stegen,Ammersee,2021-07-26 01:00:00,53321,0,---,0,---,
16,Stegen,Amper,2021-07-26 01:00:00,146,0,342,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 01:00:00,98,1,362,0,---,
18,Ampermoching,Amper,2021-07-26 01:00:00,223,0,515,0,---,
19,Inkofen,Amper,2021-07-26 01:00:00,123,0,593,0,---,
20,Oberammergau,Ammer,2021-07-26 01:00:00,54,0,501,0,---,
21,Peißenberg,Ammer,2021-07-26 01:00:00,93,-5,202,0,---,
22,Weilheim,Ammer,2021-07-26 01:00:00,136,-24,568,0,---,
23,Raisting,Rott,2021-07-26 01:00:00,41,-1,042,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 01:00:00,62510,-1,---,0,---,
25,Leutstetten,Würm,2021-07-26 01:00:00,142,0,601,0,---,
26,Hohenkammer,Glonn,2021-07-26 01:00:00,48,-1,326,0,---,
27,Berg,Sempt,2021-07-26 01:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 01:00:00,148,0,227,0,---,
29,Starnberg,Starnberger See,2021-07-26 01:00:00,58447,1,---,0,---,
30,Eching,Windach,2021-07-26 01:00:00,76,5,122,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 01:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 02:00:00,262,0,246,0,---,
1,Lenggries,Isar,2021-07-26 02:00:00,124,-1,278,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 02:00:00,71,-1,---,0,---,
3,Puppling,Isar,2021-07-26 02:00:00,155,0,589,0,---,
4,München,Isar,2021-07-26 02:00:00,162,5,140,0,---,
5,Freising,Isar,2021-07-26 02:00:00,54,-5,318,0,---,
6,Landshut Birket,Isar,2021-07-26 02:00:00,147,0,214,0,---,
7,Landau,Isar,2021-07-26 02:00:00,134,-1,244,0,---,
8,Plattling,Isar,2021-07-26 02:00:00,225,-1,238,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 02:00:00,114,0,134,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 02:00:00,175,1,369,0,---,
11,Schlehdorf,Loisach,2021-07-26 02:00:00,135,-1,377,0,---,
12,Kochel,Loisach,2021-07-26 02:00:00,137,-2,768,0,---,
13,Beuerberg,Loisach,2021-07-26 02:00:00,381,0,101,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 02:00:00,57,-1,520,0,---,
15,Stegen,Ammersee,2021-07-26 02:00:00,53320,0,---,0,---,
16,Stegen,Amper,2021-07-26 02:00:00,145,0,337,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 02:00:00,97,0,356,0,---,
18,Ampermoching,Amper,2021-07-26 02:00:00,222,-1,510,0,---,
19,Inkofen,Amper,2021-07-26 02:00:00,123,0,593,0,---,
20,Oberammergau,Ammer,2021-07-26 02:00:00,54,0,501,0,---,
21,Peißenberg,Ammer,2021-07-26 02:00:00,90,-5,182,0,---,
22,Weilheim,Ammer,2021-07-26 02:00:00,121,-28,473,0,---,
23,Raisting,Rott,2021-07-26 02:00:00,42,1,047,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 02:00:00,62510,-1,---,0,---,
25,Leutstetten,Würm,2021-07-26 02:00:00,142,0,601,0,---,
26,Hohenkammer,Glonn,2021-07-26 02:00:00,47,-2,313,0,---,
27,Berg,Sempt,2021-07-26 02:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 02:00:00,148,-1,227,0,---,
29,Starnberg,Starnberger See,2021-07-26 02:00:00,58445,-1,---,0,---,
30,Eching,Windach,2021-07-26 02:00:00,73,-2,102,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 02:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 03:00:00,262,0,246,0,---,
1,Lenggries,Isar,2021-07-26 03:00:00,124,0,278,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 03:00:00,71,-1,---,0,---,
3,Puppling,Isar,2021-07-26 03:00:00,154,-2,578,0,---,
4,München,Isar,2021-07-26 03:00:00,164,5,143,0,---,
5,Freising,Isar,2021-07-26 03:00:00,52,-5,304,0,---,
6,Landshut Birket,Isar,2021-07-26 03:00:00,147,-1,214,0,---,
7,Landau,Isar,2021-07-26 03:00:00,134,0,244,0,---,
8,Plattling,Isar,2021-07-26 03:00:00,224,-2,236,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 03:00:00,113,-2,129,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 03:00:00,173,-1,356,0,---,
11,Schlehdorf,Loisach,2021-07-26 03:00:00,135,1,377,0,---,
12,Kochel,Loisach,2021-07-26 03:00:00,135,-3,756,0,---,
13,Beuerberg,Loisach,2021-07-26 03:00:00,381,-1,101,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 03:00:00,57,-1,520,0,---,
15,Stegen,Ammersee,2021-07-26 03:00:00,53321,0,---,0,---,
16,Stegen,Amper,2021-07-26 03:00:00,146,0,342,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 03:00:00,98,0,362,0,---,
18,Ampermoching,Amper,2021-07-26 03:00:00,222,-1,510,0,---,
19,Inkofen,Amper,2021-07-26 03:00:00,123,0,593,0,---,
20,Oberammergau,Ammer,2021-07-26 03:00:00,54,0,501,0,---,
21,Peißenberg,Ammer,2021-07-26 03:00:00,88,-5,170,0,---,
22,Weilheim,Ammer,2021-07-26 03:00:00,110,-26,406,0,---,
23,Raisting,Rott,2021-07-26 03:00:00,41,0,042,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 03:00:00,62510,0,---,0,---,
25,Leutstetten,Würm,2021-07-26 03:00:00,142,0,601,0,---,
26,Hohenkammer,Glonn,2021-07-26 03:00:00,47,-1,313,0,---,
27,Berg,Sempt,2021-07-26 03:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 03:00:00,147,-1,222,0,---,
29,Starnberg,Starnberger See,2021-07-26 03:00:00,58447,0,---,0,---,
30,Eching,Windach,2021-07-26 03:00:00,75,-1,115,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 03:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 04:00:00,262,0,246,0,---,
1,Lenggries,Isar,2021-07-26 04:00:00,124,0,278,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 04:00:00,71,0,---,0,---,
3,Puppling,Isar,2021-07-26 04:00:00,153,-2,567,0,---,
4,München,Isar,2021-07-26 04:00:00,165,3,144,0,---,
5,Freising,Isar,2021-07-26 04:00:00,51,-3,298,0,---,
6,Landshut Birket,Isar,2021-07-26 04:00:00,146,-1,212,0,---,
7,Landau,Isar,2021-07-26 04:00:00,133,-1,241,0,---,
8,Plattling,Isar,2021-07-26 04:00:00,224,-1,236,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 04:00:00,112,-2,126,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 04:00:00,174,-1,363,0,---,
11,Schlehdorf,Loisach,2021-07-26 04:00:00,134,-1,371,0,---,
12,Kochel,Loisach,2021-07-26 04:00:00,133,-4,745,0,---,
13,Beuerberg,Loisach,2021-07-26 04:00:00,380,-1,996,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 04:00:00,56,-1,496,0,---,
15,Stegen,Ammersee,2021-07-26 04:00:00,53321,1,---,0,---,
16,Stegen,Amper,2021-07-26 04:00:00,146,1,342,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 04:00:00,97,0,356,0,---,
18,Ampermoching,Amper,2021-07-26 04:00:00,222,0,510,0,---,
19,Inkofen,Amper,2021-07-26 04:00:00,122,-1,587,0,---,
20,Oberammergau,Ammer,2021-07-26 04:00:00,53,-1,478,0,---,
21,Peißenberg,Ammer,2021-07-26 04:00:00,87,-3,164,0,---,
22,Weilheim,Ammer,2021-07-26 04:00:00,104,-17,371,0,---,
23,Raisting,Rott,2021-07-26 04:00:00,41,-1,042,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 04:00:00,62509,-1,---,0,---,
25,Leutstetten,Würm,2021-07-26 04:00:00,142,0,601,0,---,
26,Hohenkammer,Glonn,2021-07-26 04:00:00,45,-2,288,0,---,
27,Berg,Sempt,2021-07-26 04:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 04:00:00,147,-1,222,0,---,
29,Starnberg,Starnberger See,2021-07-26 04:00:00,58446,1,---,0,---,
30,Eching,Windach,2021-07-26 04:00:00,75,2,115,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 04:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 05:00:00,262,0,246,0,---,
1,Lenggries,Isar,2021-07-26 05:00:00,123,-1,269,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 05:00:00,71,0,---,0,---,
3,Puppling,Isar,2021-07-26 05:00:00,152,-2,556,0,---,
4,München,Isar,2021-07-26 05:00:00,167,3,148,0,---,
5,Freising,Isar,2021-07-26 05:00:00,51,-1,298,0,---,
6,Landshut Birket,Isar,2021-07-26 05:00:00,146,-1,212,0,---,
7,Landau,Isar,2021-07-26 05:00:00,132,-2,239,0,---,
8,Plattling,Isar,2021-07-26 05:00:00,223,-1,234,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 05:00:00,111,-2,121,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 05:00:00,173,0,356,0,---,
11,Schlehdorf,Loisach,2021-07-26 05:00:00,133,-2,365,0,---,
12,Kochel,Loisach,2021-07-26 05:00:00,132,-3,739,0,---,
13,Beuerberg,Loisach,2021-07-26 05:00:00,379,-2,986,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 05:00:00,56,-1,496,0,---,
15,Stegen,Ammersee,2021-07-26 05:00:00,53322,1,---,0,---,
16,Stegen,Amper,2021-07-26 05:00:00,147,1,347,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 05:00:00,98,0,362,0,---,
18,Ampermoching,Amper,2021-07-26 05:00:00,222,0,510,0,---,
19,Inkofen,Amper,2021-07-26 05:00:00,122,-1,587,0,---,
20,Oberammergau,Ammer,2021-07-26 05:00:00,53,-1,478,0,---,
21,Peißenberg,Ammer,2021-07-26 05:00:00,84,-4,147,0,---,
22,Weilheim,Ammer,2021-07-26 05:00:00,98,-12,337,0,---,
23,Raisting,Rott,2021-07-26 05:00:00,41,0,042,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 05:00:00,62509,-1,---,0,---,
25,Leutstetten,Würm,2021-07-26 05:00:00,142,0,601,0,---,
26,Hohenkammer,Glonn,2021-07-26 05:00:00,44,-3,277,0,---,
27,Berg,Sempt,2021-07-26 05:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 05:00:00,147,0,222,0,---,
29,Starnberg,Starnberger See,2021-07-26 05:00:00,58448,1,---,0,---,
30,Eching,Windach,2021-07-26 05:00:00,72,-3,095,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 05:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 06:00:00,262,0,246,0,---,
1,Lenggries,Isar,2021-07-26 06:00:00,123,-1,269,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 06:00:00,70,-1,---,0,---,
3,Puppling,Isar,2021-07-26 06:00:00,151,-2,545,0,---,
4,München,Isar,2021-07-26 06:00:00,168,3,149,0,---,
5,Freising,Isar,2021-07-26 06:00:00,55,4,325,0,---,
6,Landshut Birket,Isar,2021-07-26 06:00:00,145,-1,210,0,---,
7,Landau,Isar,2021-07-26 06:00:00,133,0,241,0,---,
8,Plattling,Isar,2021-07-26 06:00:00,222,-2,232,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 06:00:00,111,-1,121,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 06:00:00,174,0,363,0,---,
11,Schlehdorf,Loisach,2021-07-26 06:00:00,132,-2,359,0,---,
12,Kochel,Loisach,2021-07-26 06:00:00,132,-1,739,0,---,
13,Beuerberg,Loisach,2021-07-26 06:00:00,377,-3,966,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 06:00:00,56,0,496,0,---,
15,Stegen,Ammersee,2021-07-26 06:00:00,53320,-1,---,0,---,
16,Stegen,Amper,2021-07-26 06:00:00,147,1,347,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 06:00:00,98,1,362,0,---,
18,Ampermoching,Amper,2021-07-26 06:00:00,222,0,510,0,---,
19,Inkofen,Amper,2021-07-26 06:00:00,119,-3,570,0,---,
20,Oberammergau,Ammer,2021-07-26 06:00:00,53,0,478,0,---,
21,Peißenberg,Ammer,2021-07-26 06:00:00,83,-4,141,0,---,
22,Weilheim,Ammer,2021-07-26 06:00:00,94,-10,315,0,---,
23,Raisting,Rott,2021-07-26 06:00:00,41,0,042,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 06:00:00,62509,0,---,0,---,
25,Leutstetten,Würm,2021-07-26 06:00:00,142,0,601,0,---,
26,Hohenkammer,Glonn,2021-07-26 06:00:00,45,0,288,0,---,
27,Berg,Sempt,2021-07-26 06:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 06:00:00,146,-1,217,0,---,
29,Starnberg,Starnberger See,2021-07-26 06:00:00,58447,1,---,0,---,
30,Eching,Windach,2021-07-26 06:00:00,76,1,122,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 06:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 07:00:00,262,0,246,0,---,
1,Lenggries,Isar,2021-07-26 07:00:00,124,1,278,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 07:00:00,70,-1,---,0,---,
3,Puppling,Isar,2021-07-26 07:00:00,151,-1,545,0,---,
4,München,Isar,2021-07-26 07:00:00,168,1,149,0,---,
5,Freising,Isar,2021-07-26 07:00:00,58,7,347,0,---,
6,Landshut Birket,Isar,2021-07-26 07:00:00,146,0,212,0,---,
7,Landau,Isar,2021-07-26 07:00:00,136,4,250,0,---,
8,Plattling,Isar,2021-07-26 07:00:00,222,-1,232,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 07:00:00,113,2,129,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 07:00:00,173,0,356,0,---,
11,Schlehdorf,Loisach,2021-07-26 07:00:00,132,-1,359,0,---,
12,Kochel,Loisach,2021-07-26 07:00:00,134,2,751,0,---,
13,Beuerberg,Loisach,2021-07-26 07:00:00,375,-4,946,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 07:00:00,55,-1,473,0,---,
15,Stegen,Ammersee,2021-07-26 07:00:00,53321,-1,---,0,---,
16,Stegen,Amper,2021-07-26 07:00:00,147,0,347,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 07:00:00,98,0,362,0,---,
18,Ampermoching,Amper,2021-07-26 07:00:00,222,0,510,0,---,
19,Inkofen,Amper,2021-07-26 07:00:00,119,-3,570,0,---,
20,Oberammergau,Ammer,2021-07-26 07:00:00,53,0,478,0,---,
21,Peißenberg,Ammer,2021-07-26 07:00:00,83,-1,141,0,---,
22,Weilheim,Ammer,2021-07-26 07:00:00,91,-7,298,0,---,
23,Raisting,Rott,2021-07-26 07:00:00,41,0,042,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 07:00:00,62508,-1,---,0,---,
25,Leutstetten,Würm,2021-07-26 07:00:00,142,0,601,0,---,
26,Hohenkammer,Glonn,2021-07-26 07:00:00,46,2,301,0,---,
27,Berg,Sempt,2021-07-26 07:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 07:00:00,147,0,222,0,---,
29,Starnberg,Starnberger See,2021-07-26 07:00:00,58446,-2,---,0,---,
30,Eching,Windach,2021-07-26 07:00:00,73,1,102,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 07:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 08:00:00,262,0,246,0,---,
1,Lenggries,Isar,2021-07-26 08:00:00,123,0,269,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 08:00:00,70,0,---,0,---,
3,Puppling,Isar,2021-07-26 08:00:00,150,-1,534,0,---,
4,München,Isar,2021-07-26 08:00:00,167,-1,148,0,---,
5,Freising,Isar,2021-07-26 08:00:00,61,6,370,0,---,
6,Landshut Birket,Isar,2021-07-26 08:00:00,150,5,222,0,---,
7,Landau,Isar,2021-07-26 08:00:00,137,4,253,0,---,
8,Plattling,Isar,2021-07-26 08:00:00,225,3,238,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 08:00:00,110,-1,118,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 08:00:00,173,-1,356,0,---,
11,Schlehdorf,Loisach,2021-07-26 08:00:00,132,0,359,0,---,
12,Kochel,Loisach,2021-07-26 08:00:00,135,3,756,0,---,
13,Beuerberg,Loisach,2021-07-26 08:00:00,373,-4,926,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 08:00:00,55,-1,473,0,---,
15,Stegen,Ammersee,2021-07-26 08:00:00,53322,2,---,0,---,
16,Stegen,Amper,2021-07-26 08:00:00,146,-1,342,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 08:00:00,84,-14,291,0,---,
18,Ampermoching,Amper,2021-07-26 08:00:00,222,0,510,0,---,
19,Inkofen,Amper,2021-07-26 08:00:00,120,1,576,0,---,
20,Oberammergau,Ammer,2021-07-26 08:00:00,53,0,478,0,---,
21,Peißenberg,Ammer,2021-07-26 08:00:00,82,-1,136,0,---,
22,Weilheim,Ammer,2021-07-26 08:00:00,88,-6,283,0,---,
23,Raisting,Rott,2021-07-26 08:00:00,41,0,042,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 08:00:00,62508,-1,---,0,---,
25,Leutstetten,Würm,2021-07-26 08:00:00,142,0,601,0,---,
26,Hohenkammer,Glonn,2021-07-26 08:00:00,45,0,288,0,---,
27,Berg,Sempt,2021-07-26 08:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 08:00:00,146,0,217,0,---,
29,Starnberg,Starnberger See,2021-07-26 08:00:00,58447,0,---,0,---,
30,Eching,Windach,2021-07-26 08:00:00,72,-4,095,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 08:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 09:00:00,260,-2,228,0,---,
1,Lenggries,Isar,2021-07-26 09:00:00,123,-1,269,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 09:00:00,70,0,---,0,---,
3,Puppling,Isar,2021-07-26 09:00:00,150,-1,534,0,---,
4,München,Isar,2021-07-26 09:00:00,167,-1,148,0,---,
5,Freising,Isar,2021-07-26 09:00:00,65,7,403,0,---,
6,Landshut Birket,Isar,2021-07-26 09:00:00,146,0,212,0,---,
7,Landau,Isar,2021-07-26 09:00:00,139,3,259,0,---,
8,Plattling,Isar,2021-07-26 09:00:00,228,6,244,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-26 09:00:00,110,-3,118,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-26 09:00:00,173,0,356,0,---,
11,Schlehdorf,Loisach,2021-07-26 09:00:00,133,1,365,0,---,
12,Kochel,Loisach,2021-07-26 09:00:00,137,3,768,0,---,
13,Beuerberg,Loisach,2021-07-26 09:00:00,372,-3,918,0,---,
14,Partenkirchen (alt),Partnach,2021-07-26 09:00:00,55,0,473,0,---,
15,Stegen,Ammersee,2021-07-26 09:00:00,53321,0,---,0,---,
16,Stegen,Amper,2021-07-26 09:00:00,146,-1,342,0,---,
17,Fürstenfeldbruck,Amper,2021-07-26 09:00:00,100,2,372,0,---,
18,Ampermoching,Amper,2021-07-26 09:00:00,221,-1,504,0,---,
19,Inkofen,Amper,2021-07-26 09:00:00,119,0,570,0,---,
20,Oberammergau,Ammer,2021-07-26 09:00:00,53,0,478,0,---,
21,Peißenberg,Ammer,2021-07-26 09:00:00,81,-2,130,0,---,
22,Weilheim,Ammer,2021-07-26 09:00:00,88,-3,283,0,---,
23,Raisting,Rott,2021-07-26 09:00:00,41,0,042,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-26 09:00:00,62508,0,---,0,---,
25,Leutstetten,Würm,2021-07-26 09:00:00,143,1,613,0,---,
26,Hohenkammer,Glonn,2021-07-26 09:00:00,46,0,301,0,---,
27,Berg,Sempt,2021-07-26 09:00:00,61,0,315,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-26 09:00:00,150,3,238,0,---,
29,Starnberg,Starnberger See,2021-07-26 09:00:00,58447,1,---,0,---,
30,Eching,Windach,2021-07-26 09:00:00,75,2,115,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-26 09:00:00,28,0,058,0,---,
0,Sylvenstein,Isar,2021-07-26 10:00:00,259,-3,219,0,---,
1,Lenggries,Isar,2021-07-26 10:00:00,123,0,269,0,---,
2,Bad Tölz Brücke,Isar,2021-07-26 10:00:00,70,0,---,0,---,
3,Puppling,Isar,2021-07-26 10:00:00,149,-1,524,0,---,
4,München,Isar,2021-07-26 10:00:00,167,0,148,0,---,
5,Freising,Isar,2021-07-26 10:00:00,66,5,411,0,---,
