,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
28,Eschenlohe Brücke,Loisach,2021-07-08 04:00:00,151,-2,244,0,---,
29,Starnberg,Starnberger See,2021-07-08 04:00:00,58453,0,---,0,---,
30,Eching,Windach,2021-07-08 04:00:00,82,0,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 04:00:00,25,-5,044,0,---,
0,Sylvenstein,Isar,2021-07-08 05:00:00,276,0,388,0,---,
1,Lenggries,Isar,2021-07-08 05:00:00,145,0,471,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 05:00:00,86,0,---,0,---,
3,Puppling,Isar,2021-07-08 05:00:00,164,-1,695,0,---,
4,München,Isar,2021-07-08 05:00:00,170,-4,153,0,---,
5,Freising,Isar,2021-07-08 05:00:00,83,-6,576,0,---,
6,Landshut Birket,Isar,2021-07-08 05:00:00,166,-1,261,0,---,
7,Landau,Isar,2021-07-08 05:00:00,163,0,322,0,---,
8,Plattling,Isar,2021-07-08 05:00:00,252,3,294,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 05:00:00,108,-1,111,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 05:00:00,179,-2,394,0,---,
11,Schlehdorf,Loisach,2021-07-08 05:00:00,136,-1,384,0,---,
12,Kochel,Loisach,2021-07-08 05:00:00,123,-2,688,0,---,
13,Beuerberg,Loisach,2021-07-08 05:00:00,355,-3,751,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 05:00:00,64,0,708,0,---,
15,Stegen,Ammersee,2021-07-08 05:00:00,53325,0,---,0,---,
16,Stegen,Amper,2021-07-08 05:00:00,151,0,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 05:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-08 05:00:00,232,-1,564,0,---,
19,Inkofen,Amper,2021-07-08 05:00:00,140,0,693,0,---,
20,Oberammergau,Ammer,2021-07-08 05:00:00,57,0,575,0,---,
21,Peißenberg,Ammer,2021-07-08 05:00:00,79,-1,120,0,---,
22,Weilheim,Ammer,2021-07-08 05:00:00,73,-1,206,0,---,
23,Raisting,Rott,2021-07-08 05:00:00,49,-1,084,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 05:00:00,62506,1,---,0,---,
25,Leutstetten,Würm,2021-07-08 05:00:00,149,0,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 05:00:00,49,-1,339,0,---,
27,Berg,Sempt,2021-07-08 05:00:00,68,0,394,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-08 05:00:00,150,-1,238,0,---,
29,Starnberg,Starnberger See,2021-07-08 05:00:00,58453,0,---,0,---,
30,Eching,Windach,2021-07-08 05:00:00,82,0,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 05:00:00,25,-2,044,0,---,
0,Sylvenstein,Isar,2021-07-08 06:00:00,276,0,388,0,---,
1,Lenggries,Isar,2021-07-08 06:00:00,145,1,471,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 06:00:00,86,0,---,0,---,
3,Puppling,Isar,2021-07-08 06:00:00,164,-1,695,0,---,
4,München,Isar,2021-07-08 06:00:00,170,-1,153,0,---,
5,Freising,Isar,2021-07-08 06:00:00,82,-4,565,0,---,
6,Landshut Birket,Isar,2021-07-08 06:00:00,166,0,261,0,---,
7,Landau,Isar,2021-07-08 06:00:00,163,-1,322,0,---,
8,Plattling,Isar,2021-07-08 06:00:00,254,4,299,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 06:00:00,109,0,115,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 06:00:00,179,-1,394,0,---,
11,Schlehdorf,Loisach,2021-07-08 06:00:00,135,-1,377,0,---,
12,Kochel,Loisach,2021-07-08 06:00:00,123,0,688,0,---,
13,Beuerberg,Loisach,2021-07-08 06:00:00,353,-3,732,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 06:00:00,64,0,708,0,---,
15,Stegen,Ammersee,2021-07-08 06:00:00,53326,0,---,0,---,
16,Stegen,Amper,2021-07-08 06:00:00,151,0,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 06:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-08 06:00:00,232,-1,564,0,---,
19,Inkofen,Amper,2021-07-08 06:00:00,139,0,687,0,---,
20,Oberammergau,Ammer,2021-07-08 06:00:00,57,0,575,0,---,
21,Peißenberg,Ammer,2021-07-08 06:00:00,78,-1,115,0,---,
22,Weilheim,Ammer,2021-07-08 06:00:00,72,-1,202,0,---,
23,Raisting,Rott,2021-07-08 06:00:00,49,-1,084,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 06:00:00,62506,0,---,0,---,
25,Leutstetten,Würm,2021-07-08 06:00:00,149,0,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 06:00:00,49,-1,339,0,---,
27,Berg,Sempt,2021-07-08 06:00:00,68,0,394,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-08 06:00:00,151,0,244,0,---,
29,Starnberg,Starnberger See,2021-07-08 06:00:00,58453,0,---,0,---,
30,Eching,Windach,2021-07-08 06:00:00,82,0,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 06:00:00,25,0,044,0,---,
0,Sylvenstein,Isar,2021-07-08 07:00:00,276,0,388,0,---,
1,Lenggries,Isar,2021-07-08 07:00:00,144,-1,462,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 07:00:00,85,-1,---,0,---,
3,Puppling,Isar,2021-07-08 07:00:00,164,0,695,0,---,
4,München,Isar,2021-07-08 07:00:00,166,-4,146,0,---,
5,Freising,Isar,2021-07-08 07:00:00,79,-4,534,0,---,
6,Landshut Birket,Isar,2021-07-08 07:00:00,165,-1,258,0,---,
7,Landau,Isar,2021-07-08 07:00:00,163,0,322,0,---,
8,Plattling,Isar,2021-07-08 07:00:00,254,2,299,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 07:00:00,108,0,111,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 07:00:00,179,0,394,0,---,
11,Schlehdorf,Loisach,2021-07-08 07:00:00,134,-2,371,0,---,
12,Kochel,Loisach,2021-07-08 07:00:00,123,0,688,0,---,
13,Beuerberg,Loisach,2021-07-08 07:00:00,351,-4,712,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 07:00:00,64,0,708,0,---,
15,Stegen,Ammersee,2021-07-08 07:00:00,53326,1,---,0,---,
16,Stegen,Amper,2021-07-08 07:00:00,151,0,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 07:00:00,103,-1,388,0,---,
18,Ampermoching,Amper,2021-07-08 07:00:00,232,0,564,0,---,
19,Inkofen,Amper,2021-07-08 07:00:00,138,-2,681,0,---,
20,Oberammergau,Ammer,2021-07-08 07:00:00,56,-1,550,0,---,
21,Peißenberg,Ammer,2021-07-08 07:00:00,78,-1,115,0,---,
22,Weilheim,Ammer,2021-07-08 07:00:00,73,0,206,0,---,
23,Raisting,Rott,2021-07-08 07:00:00,49,0,084,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 07:00:00,62507,1,---,0,---,
25,Leutstetten,Würm,2021-07-08 07:00:00,149,0,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 07:00:00,48,-1,326,0,---,
27,Berg,Sempt,2021-07-08 07:00:00,68,0,394,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-08 07:00:00,151,1,244,0,---,
29,Starnberg,Starnberger See,2021-07-08 07:00:00,58453,0,---,0,---,
30,Eching,Windach,2021-07-08 07:00:00,81,-1,159,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 07:00:00,25,0,044,0,---,
0,Sylvenstein,Isar,2021-07-08 08:00:00,276,0,388,0,---,
1,Lenggries,Isar,2021-07-08 08:00:00,144,-1,462,0,---,
