,Unnamed: 0,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
8685,13,Beuerberg,Loisach,2021-08-20 07:00:00,341,-2,615,0,---,
8686,14,Partenkirchen (alt),Partnach,2021-08-20 07:00:00,53,-1,427,0,---,
8687,15,Stegen,Ammersee,2021-08-20 07:00:00,53310,-1,---,0,---,
8688,16,Stegen,Amper,2021-08-20 07:00:00,136,0,294,0,---,
8689,17,Fürstenfeldbruck,Amper,2021-08-20 07:00:00,91,0,326,0,---,
8690,18,Ampermoching,Amper,2021-08-20 07:00:00,218,2,488,0,---,
8691,19,Inkofen,Amper,2021-08-20 07:00:00,116,-1,553,0,---,
8692,20,Oberammergau,Ammer,2021-08-20 07:00:00,50,-1,410,0,---,
8693,21,Peißenberg,Ammer,2021-08-20 07:00:00,68,0,715,0,---,
8694,22,Weilheim,Ammer,2021-08-20 07:00:00,55,0,128,0,---,
8695,23,Raisting,Rott,2021-08-20 07:00:00,40,0,038,0,---,
8696,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 07:00:00,62507,0,---,0,---,
8697,25,Leutstetten,Würm,2021-08-20 07:00:00,150,0,701,0,---,
8698,26,Hohenkammer,Glonn,2021-08-20 07:00:00,42,-1,254,0,---,
8699,27,Berg,Sempt,2021-08-20 07:00:00,65,0,359,0,---,
8700,28,Eschenlohe Brücke,Loisach,2021-08-20 07:00:00,143,1,202,0,---,
8701,29,Starnberg,Starnberger See,2021-08-20 07:00:00,58451,1,---,0,---,
8702,30,Eching,Windach,2021-08-20 07:00:00,77,-3,129,0,---,
8703,31,Oberfinning Speicherabgabe,Windach,2021-08-20 07:00:00,25,0,044,0,---,
8704,0,Sylvenstein,Isar,2021-08-20 08:00:00,260,0,228,0,---,
8705,1,Lenggries,Isar,2021-08-20 08:00:00,123,0,269,0,---,
8706,2,Bad Tölz Brücke,Isar,2021-08-20 08:00:00,71,0,---,0,---,
8707,3,Puppling,Isar,2021-08-20 08:00:00,145,0,564,0,---,
8708,4,München,Isar,2021-08-20 08:00:00,143,1,109,0,---,
8709,5,Freising,Isar,2021-08-20 08:00:00,44,-1,255,0,---,
8710,6,Landshut Birket,Isar,2021-08-20 08:00:00,136,-10,188,0,---,
8711,7,Landau,Isar,2021-08-20 08:00:00,136,-3,250,0,---,
8712,8,Plattling,Isar,2021-08-20 08:00:00,222,-3,232,0,---,
8713,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 08:00:00,102,0,906,0,---,
8714,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 08:00:00,159,0,275,0,---,
8715,11,Schlehdorf,Loisach,2021-08-20 08:00:00,114,-1,252,0,---,
8716,12,Kochel,Loisach,2021-08-20 08:00:00,116,1,648,0,---,
8717,13,Beuerberg,Loisach,2021-08-20 08:00:00,340,-2,606,0,---,
8718,14,Partenkirchen (alt),Partnach,2021-08-20 08:00:00,53,-1,427,0,---,
8719,15,Stegen,Ammersee,2021-08-20 08:00:00,53311,0,---,0,---,
8720,16,Stegen,Amper,2021-08-20 08:00:00,136,0,294,0,---,
8721,17,Fürstenfeldbruck,Amper,2021-08-20 08:00:00,91,-1,326,0,---,
8722,18,Ampermoching,Amper,2021-08-20 08:00:00,216,2,478,0,---,
8723,19,Inkofen,Amper,2021-08-20 08:00:00,117,0,559,0,---,
8724,20,Oberammergau,Ammer,2021-08-20 08:00:00,50,0,410,0,---,
8725,21,Peißenberg,Ammer,2021-08-20 08:00:00,68,-1,715,0,---,
8726,22,Weilheim,Ammer,2021-08-20 08:00:00,55,0,128,0,---,
8727,23,Raisting,Rott,2021-08-20 08:00:00,40,0,038,0,---,
8728,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 08:00:00,62508,1,---,0,---,
8729,25,Leutstetten,Würm,2021-08-20 08:00:00,150,0,701,0,---,
8730,26,Hohenkammer,Glonn,2021-08-20 08:00:00,42,-1,254,0,---,
8731,27,Berg,Sempt,2021-08-20 08:00:00,65,0,359,0,---,
8732,28,Eschenlohe Brücke,Loisach,2021-08-20 08:00:00,142,-2,198,0,---,
8733,29,Starnberg,Starnberger See,2021-08-20 08:00:00,58450,-1,---,0,---,
8734,30,Eching,Windach,2021-08-20 08:00:00,76,-3,122,0,---,
8735,31,Oberfinning Speicherabgabe,Windach,2021-08-20 08:00:00,25,0,044,0,---,
8736,0,Sylvenstein,Isar,2021-08-20 09:00:00,260,0,228,0,---,
8737,1,Lenggries,Isar,2021-08-20 09:00:00,123,0,269,0,---,
8738,2,Bad Tölz Brücke,Isar,2021-08-20 09:00:00,71,0,---,0,---,
8739,3,Puppling,Isar,2021-08-20 09:00:00,145,0,564,0,---,
8740,4,München,Isar,2021-08-20 09:00:00,143,4,109,0,---,
8741,5,Freising,Isar,2021-08-20 09:00:00,45,0,260,0,---,
8742,6,Landshut Birket,Isar,2021-08-20 09:00:00,136,-1,188,0,---,
8743,7,Landau,Isar,2021-08-20 09:00:00,137,0,253,0,---,
8744,8,Plattling,Isar,2021-08-20 09:00:00,221,-3,230,0,---,
8745,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 09:00:00,102,0,906,0,---,
8746,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 09:00:00,159,0,275,0,---,
8747,11,Schlehdorf,Loisach,2021-08-20 09:00:00,114,-1,252,0,---,
8748,12,Kochel,Loisach,2021-08-20 09:00:00,116,1,648,0,---,
8749,13,Beuerberg,Loisach,2021-08-20 09:00:00,340,-1,606,0,---,
8750,14,Partenkirchen (alt),Partnach,2021-08-20 09:00:00,53,0,427,0,---,
8751,15,Stegen,Ammersee,2021-08-20 09:00:00,53308,-2,---,0,---,
8752,16,Stegen,Amper,2021-08-20 09:00:00,136,0,294,0,---,
8753,17,Fürstenfeldbruck,Amper,2021-08-20 09:00:00,90,-1,321,0,---,
8754,18,Ampermoching,Amper,2021-08-20 09:00:00,215,-3,473,0,---,
8755,19,Inkofen,Amper,2021-08-20 09:00:00,117,1,559,0,---,
8756,20,Oberammergau,Ammer,2021-08-20 09:00:00,50,0,410,0,---,
8757,21,Peißenberg,Ammer,2021-08-20 09:00:00,68,0,715,0,---,
8758,22,Weilheim,Ammer,2021-08-20 09:00:00,55,0,128,0,---,
8759,23,Raisting,Rott,2021-08-20 09:00:00,40,0,038,0,---,
8760,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 09:00:00,62508,1,---,0,---,
8761,25,Leutstetten,Würm,2021-08-20 09:00:00,151,1,714,0,---,
8762,26,Hohenkammer,Glonn,2021-08-20 09:00:00,43,1,266,0,---,
8763,27,Berg,Sempt,2021-08-20 09:00:00,65,0,359,0,---,
8764,28,Eschenlohe Brücke,Loisach,2021-08-20 09:00:00,142,-1,198,0,---,
8765,29,Starnberg,Starnberger See,2021-08-20 09:00:00,58451,0,---,0,---,
8766,30,Eching,Windach,2021-08-20 09:00:00,74,-3,108,0,---,
8767,31,Oberfinning Speicherabgabe,Windach,2021-08-20 09:00:00,25,0,044,0,---,
8768,0,Sylvenstein,Isar,2021-08-20 10:00:00,259,-1,219,0,---,
8769,1,Lenggries,Isar,2021-08-20 10:00:00,123,0,269,0,---,
8770,2,Bad Tölz Brücke,Isar,2021-08-20 10:00:00,71,0,---,0,---,
8771,3,Puppling,Isar,2021-08-20 10:00:00,145,0,564,0,---,
8772,4,München,Isar,2021-08-20 10:00:00,142,-1,107,0,---,
8773,5,Freising,Isar,2021-08-20 10:00:00,45,1,260,0,---,
8774,6,Landshut Birket,Isar,2021-08-20 10:00:00,136,0,188,0,---,
8775,7,Landau,Isar,2021-08-20 10:00:00,133,-3,241,0,---,
8776,8,Plattling,Isar,2021-08-20 10:00:00,221,-1,230,0,---,
8777,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 10:00:00,100,-2,841,0,---,
8778,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 10:00:00,158,-1,269,0,---,
8779,11,Schlehdorf,Loisach,2021-08-20 10:00:00,114,0,252,0,---,
8780,12,Kochel,Loisach,2021-08-20 10:00:00,117,1,654,0,---,
8781,13,Beuerberg,Loisach,2021-08-20 10:00:00,339,-1,596,0,---,
8782,14,Partenkirchen (alt),Partnach,2021-08-20 10:00:00,53,0,427,0,---,
8783,15,Stegen,Ammersee,2021-08-20 10:00:00,53310,-1,---,0,---,
8784,16,Stegen,Amper,2021-08-20 10:00:00,136,0,294,0,---,
8785,17,Fürstenfeldbruck,Amper,2021-08-20 10:00:00,91,0,326,0,---,
8786,18,Ampermoching,Amper,2021-08-20 10:00:00,215,-1,473,0,---,
8787,19,Inkofen,Amper,2021-08-20 10:00:00,116,-1,553,0,---,
8788,20,Oberammergau,Ammer,2021-08-20 10:00:00,50,0,410,0,---,
8789,21,Peißenberg,Ammer,2021-08-20 10:00:00,67,-1,679,0,---,
8790,22,Weilheim,Ammer,2021-08-20 10:00:00,55,0,128,0,---,
8791,23,Raisting,Rott,2021-08-20 10:00:00,40,0,038,0,---,
8792,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 10:00:00,62508,0,---,0,---,
8793,25,Leutstetten,Würm,2021-08-20 10:00:00,151,1,714,0,---,
8794,26,Hohenkammer,Glonn,2021-08-20 10:00:00,42,0,254,0,---,
8795,27,Berg,Sempt,2021-08-20 10:00:00,64,-1,348,0,---,
8796,28,Eschenlohe Brücke,Loisach,2021-08-20 10:00:00,142,0,198,0,---,
8797,29,Starnberg,Starnberger See,2021-08-20 10:00:00,58451,1,---,0,---,
8798,30,Eching,Windach,2021-08-20 10:00:00,76,0,122,0,---,
8799,31,Oberfinning Speicherabgabe,Windach,2021-08-20 10:00:00,25,0,044,0,---,
8800,0,Sylvenstein,Isar,2021-08-20 11:00:00,257,-3,201,0,---,
8801,1,Lenggries,Isar,2021-08-20 11:00:00,123,0,269,0,---,
8802,2,Bad Tölz Brücke,Isar,2021-08-20 11:00:00,71,0,---,0,---,
8803,3,Puppling,Isar,2021-08-20 11:00:00,145,0,564,0,---,
8804,4,München,Isar,2021-08-20 11:00:00,141,-2,106,0,---,
8805,5,Freising,Isar,2021-08-20 11:00:00,44,-1,255,0,---,
8806,6,Landshut Birket,Isar,2021-08-20 11:00:00,135,-1,185,0,---,
8807,7,Landau,Isar,2021-08-20 11:00:00,132,-5,239,0,---,
8808,8,Plattling,Isar,2021-08-20 11:00:00,218,-3,224,0,---,
8809,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 11:00:00,101,-1,872,0,---,
8810,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 11:00:00,159,0,275,0,---,
8811,11,Schlehdorf,Loisach,2021-08-20 11:00:00,114,0,252,0,---,
8812,12,Kochel,Loisach,2021-08-20 11:00:00,118,2,660,0,---,
8813,13,Beuerberg,Loisach,2021-08-20 11:00:00,339,-1,596,0,---,
8814,14,Partenkirchen (alt),Partnach,2021-08-20 11:00:00,53,0,427,0,---,
8815,15,Stegen,Ammersee,2021-08-20 11:00:00,53310,2,---,0,---,
8816,16,Stegen,Amper,2021-08-20 11:00:00,136,0,294,0,---,
8817,17,Fürstenfeldbruck,Amper,2021-08-20 11:00:00,91,1,326,0,---,
8818,18,Ampermoching,Amper,2021-08-20 11:00:00,216,1,478,0,---,
8819,19,Inkofen,Amper,2021-08-20 11:00:00,116,-1,553,0,---,
8820,20,Oberammergau,Ammer,2021-08-20 11:00:00,50,0,410,0,---,
8821,21,Peißenberg,Ammer,2021-08-20 11:00:00,67,-1,679,0,---,
8822,22,Weilheim,Ammer,2021-08-20 11:00:00,55,0,128,0,---,
8823,23,Raisting,Rott,2021-08-20 11:00:00,40,0,038,0,---,
8824,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 11:00:00,62508,0,---,0,---,
8825,25,Leutstetten,Würm,2021-08-20 11:00:00,151,0,714,0,---,
8826,26,Hohenkammer,Glonn,2021-08-20 11:00:00,42,-1,254,0,---,
8827,27,Berg,Sempt,2021-08-20 11:00:00,64,-1,348,0,---,
8828,28,Eschenlohe Brücke,Loisach,2021-08-20 11:00:00,143,1,202,0,---,
8829,29,Starnberg,Starnberger See,2021-08-20 11:00:00,58451,0,---,0,---,
8830,30,Eching,Windach,2021-08-20 11:00:00,73,-1,102,0,---,
8831,31,Oberfinning Speicherabgabe,Windach,2021-08-20 11:00:00,25,0,044,0,---,
8832,0,Sylvenstein,Isar,2021-08-20 12:00:00,256,-3,192,0,---,
8833,1,Lenggries,Isar,2021-08-20 12:00:00,122,-1,261,0,---,
8834,2,Bad Tölz Brücke,Isar,2021-08-20 12:00:00,71,0,---,0,---,
8835,3,Puppling,Isar,2021-08-20 12:00:00,145,0,564,0,---,
8836,4,München,Isar,2021-08-20 12:00:00,141,-1,106,0,---,
8837,5,Freising,Isar,2021-08-20 12:00:00,44,-1,255,0,---,
8838,6,Landshut Birket,Isar,2021-08-20 12:00:00,135,-1,185,0,---,
8839,7,Landau,Isar,2021-08-20 12:00:00,131,-2,236,0,---,
8840,8,Plattling,Isar,2021-08-20 12:00:00,215,-6,218,0,---,
8841,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 12:00:00,101,1,872,0,---,
8842,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 12:00:00,158,0,269,0,---,
8843,11,Schlehdorf,Loisach,2021-08-20 12:00:00,114,0,252,0,---,
8844,12,Kochel,Loisach,2021-08-20 12:00:00,119,2,665,0,---,
8845,13,Beuerberg,Loisach,2021-08-20 12:00:00,339,0,596,0,---,
8846,14,Partenkirchen (alt),Partnach,2021-08-20 12:00:00,53,0,427,0,---,
8847,15,Stegen,Ammersee,2021-08-20 12:00:00,53311,1,---,0,---,
8848,16,Stegen,Amper,2021-08-20 12:00:00,136,0,294,0,---,
8849,17,Fürstenfeldbruck,Amper,2021-08-20 12:00:00,90,-1,321,0,---,
8850,18,Ampermoching,Amper,2021-08-20 12:00:00,216,1,478,0,---,
8851,19,Inkofen,Amper,2021-08-20 12:00:00,116,0,553,0,---,
8852,20,Oberammergau,Ammer,2021-08-20 12:00:00,51,1,432,0,---,
8853,21,Peißenberg,Ammer,2021-08-20 12:00:00,67,0,679,0,---,
8854,22,Weilheim,Ammer,2021-08-20 12:00:00,55,0,128,0,---,
8855,23,Raisting,Rott,2021-08-20 12:00:00,40,0,038,0,---,
8856,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 12:00:00,62509,1,---,0,---,
8857,25,Leutstetten,Würm,2021-08-20 12:00:00,151,0,714,0,---,
8858,26,Hohenkammer,Glonn,2021-08-20 12:00:00,43,1,266,0,---,
8859,27,Berg,Sempt,2021-08-20 12:00:00,64,0,348,0,---,
8860,28,Eschenlohe Brücke,Loisach,2021-08-20 12:00:00,142,0,198,0,---,
8861,29,Starnberg,Starnberger See,2021-08-20 12:00:00,58451,0,---,0,---,
8862,30,Eching,Windach,2021-08-20 12:00:00,73,-3,102,0,---,
8863,31,Oberfinning Speicherabgabe,Windach,2021-08-20 12:00:00,25,0,044,0,---,
8864,0,Sylvenstein,Isar,2021-08-20 13:00:00,256,-1,192,0,---,
8865,1,Lenggries,Isar,2021-08-20 13:00:00,121,-2,253,0,---,
8866,2,Bad Tölz Brücke,Isar,2021-08-20 13:00:00,71,0,---,0,---,
8867,3,Puppling,Isar,2021-08-20 13:00:00,145,0,564,0,---,
8868,4,München,Isar,2021-08-20 13:00:00,140,-1,104,0,---,
8869,5,Freising,Isar,2021-08-20 13:00:00,44,0,255,0,---,
8870,6,Landshut Birket,Isar,2021-08-20 13:00:00,135,0,185,0,---,
8871,7,Landau,Isar,2021-08-20 13:00:00,130,-2,233,0,---,
8872,8,Plattling,Isar,2021-08-20 13:00:00,212,-6,212,0,---,
8873,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 13:00:00,101,0,872,0,---,
8874,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 13:00:00,158,-1,269,0,---,
8875,11,Schlehdorf,Loisach,2021-08-20 13:00:00,113,-1,247,0,---,
8876,12,Kochel,Loisach,2021-08-20 13:00:00,120,2,671,0,---,
8877,13,Beuerberg,Loisach,2021-08-20 13:00:00,339,0,596,0,---,
8878,14,Partenkirchen (alt),Partnach,2021-08-20 13:00:00,52,-1,404,0,---,
8879,15,Stegen,Ammersee,2021-08-20 13:00:00,53310,0,---,0,---,
8880,16,Stegen,Amper,2021-08-20 13:00:00,135,-1,289,0,---,
8881,17,Fürstenfeldbruck,Amper,2021-08-20 13:00:00,90,-1,321,0,---,
8882,18,Ampermoching,Amper,2021-08-20 13:00:00,216,0,478,0,---,
8883,19,Inkofen,Amper,2021-08-20 13:00:00,117,1,559,0,---,
8884,20,Oberammergau,Ammer,2021-08-20 13:00:00,50,0,410,0,---,
8885,21,Peißenberg,Ammer,2021-08-20 13:00:00,67,0,679,0,---,
8886,22,Weilheim,Ammer,2021-08-20 13:00:00,54,-1,124,0,---,
8887,23,Raisting,Rott,2021-08-20 13:00:00,40,0,038,0,---,
8888,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 13:00:00,62509,1,---,0,---,
8889,25,Leutstetten,Würm,2021-08-20 13:00:00,151,0,714,0,---,
8890,26,Hohenkammer,Glonn,2021-08-20 13:00:00,42,0,254,0,---,
8891,27,Berg,Sempt,2021-08-20 13:00:00,64,0,348,0,---,
8892,28,Eschenlohe Brücke,Loisach,2021-08-20 13:00:00,143,0,202,0,---,
8893,29,Starnberg,Starnberger See,2021-08-20 13:00:00,58451,0,---,0,---,
8894,30,Eching,Windach,2021-08-20 13:00:00,75,2,115,0,---,
8895,31,Oberfinning Speicherabgabe,Windach,2021-08-20 13:00:00,25,0,044,0,---,
8896,0,Sylvenstein,Isar,2021-08-20 14:00:00,256,0,192,0,---,
8897,1,Lenggries,Isar,2021-08-20 14:00:00,120,-2,244,0,---,
8898,2,Bad Tölz Brücke,Isar,2021-08-20 14:00:00,71,0,---,0,---,
8899,3,Puppling,Isar,2021-08-20 14:00:00,145,0,564,0,---,
8900,4,München,Isar,2021-08-20 14:00:00,140,-1,104,0,---,
8901,5,Freising,Isar,2021-08-20 14:00:00,45,1,260,0,---,
8902,6,Landshut Birket,Isar,2021-08-20 14:00:00,135,0,185,0,---,
8903,7,Landau,Isar,2021-08-20 14:00:00,128,-3,227,0,---,
8904,8,Plattling,Isar,2021-08-20 14:00:00,212,-3,212,0,---,
8905,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 14:00:00,101,0,872,0,---,
8906,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 14:00:00,158,0,269,0,---,
8907,11,Schlehdorf,Loisach,2021-08-20 14:00:00,114,0,252,0,---,
8908,12,Kochel,Loisach,2021-08-20 14:00:00,121,2,677,0,---,
8909,13,Beuerberg,Loisach,2021-08-20 14:00:00,340,1,606,0,---,
8910,14,Partenkirchen (alt),Partnach,2021-08-20 14:00:00,52,-1,404,0,---,
8911,15,Stegen,Ammersee,2021-08-20 14:00:00,53309,-2,---,0,---,
8912,16,Stegen,Amper,2021-08-20 14:00:00,135,-1,289,0,---,
8913,17,Fürstenfeldbruck,Amper,2021-08-20 14:00:00,90,0,321,0,---,
8914,18,Ampermoching,Amper,2021-08-20 14:00:00,216,0,478,0,---,
8915,19,Inkofen,Amper,2021-08-20 14:00:00,116,0,553,0,---,
8916,20,Oberammergau,Ammer,2021-08-20 14:00:00,50,-1,410,0,---,
8917,21,Peißenberg,Ammer,2021-08-20 14:00:00,67,0,679,0,---,
8918,22,Weilheim,Ammer,2021-08-20 14:00:00,54,-1,124,0,---,
8919,23,Raisting,Rott,2021-08-20 14:00:00,40,0,038,0,---,
8920,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 14:00:00,62509,0,---,0,---,
8921,25,Leutstetten,Würm,2021-08-20 14:00:00,151,0,714,0,---,
8922,26,Hohenkammer,Glonn,2021-08-20 14:00:00,42,-1,254,0,---,
8923,27,Berg,Sempt,2021-08-20 14:00:00,64,0,348,0,---,
8924,28,Eschenlohe Brücke,Loisach,2021-08-20 14:00:00,141,-1,193,0,---,
8925,29,Starnberg,Starnberger See,2021-08-20 14:00:00,58451,0,---,0,---,
8926,30,Eching,Windach,2021-08-20 14:00:00,72,-1,095,0,---,
8927,31,Oberfinning Speicherabgabe,Windach,2021-08-20 14:00:00,25,0,044,0,---,
8928,0,Sylvenstein,Isar,2021-08-20 15:00:00,256,0,192,0,---,
8929,1,Lenggries,Isar,2021-08-20 15:00:00,119,-2,236,0,---,
8930,2,Bad Tölz Brücke,Isar,2021-08-20 15:00:00,70,-1,---,0,---,
8931,3,Puppling,Isar,2021-08-20 15:00:00,145,0,564,0,---,
8932,4,München,Isar,2021-08-20 15:00:00,139,-1,103,0,---,
8933,5,Freising,Isar,2021-08-20 15:00:00,45,1,260,0,---,
8934,6,Landshut Birket,Isar,2021-08-20 15:00:00,135,0,185,0,---,
8935,7,Landau,Isar,2021-08-20 15:00:00,127,-3,224,0,---,
8936,8,Plattling,Isar,2021-08-20 15:00:00,211,-1,210,0,---,
8937,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 15:00:00,101,0,872,0,---,
8938,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 15:00:00,158,0,269,0,---,
8939,11,Schlehdorf,Loisach,2021-08-20 15:00:00,113,0,247,0,---,
8940,12,Kochel,Loisach,2021-08-20 15:00:00,122,2,682,0,---,
8941,13,Beuerberg,Loisach,2021-08-20 15:00:00,340,1,606,0,---,
8942,14,Partenkirchen (alt),Partnach,2021-08-20 15:00:00,52,0,404,0,---,
8943,15,Stegen,Ammersee,2021-08-20 15:00:00,53309,-1,---,0,---,
8944,16,Stegen,Amper,2021-08-20 15:00:00,135,0,289,0,---,
8945,17,Fürstenfeldbruck,Amper,2021-08-20 15:00:00,89,-1,316,0,---,
8946,18,Ampermoching,Amper,2021-08-20 15:00:00,216,0,478,0,---,
8947,19,Inkofen,Amper,2021-08-20 15:00:00,116,-1,553,0,---,
8948,20,Oberammergau,Ammer,2021-08-20 15:00:00,49,-1,388,0,---,
8949,21,Peißenberg,Ammer,2021-08-20 15:00:00,69,2,753,0,---,
8950,22,Weilheim,Ammer,2021-08-20 15:00:00,55,1,128,0,---,
8951,23,Raisting,Rott,2021-08-20 15:00:00,40,0,038,0,---,
8952,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 15:00:00,62509,0,---,0,---,
8953,25,Leutstetten,Würm,2021-08-20 15:00:00,151,0,714,0,---,
8954,26,Hohenkammer,Glonn,2021-08-20 15:00:00,42,0,254,0,---,
8955,27,Berg,Sempt,2021-08-20 15:00:00,64,0,348,0,---,
8956,28,Eschenlohe Brücke,Loisach,2021-08-20 15:00:00,142,-1,198,0,---,
8957,29,Starnberg,Starnberger See,2021-08-20 15:00:00,58450,-1,---,0,---,
8958,30,Eching,Windach,2021-08-20 15:00:00,72,-3,095,0,---,
8959,31,Oberfinning Speicherabgabe,Windach,2021-08-20 15:00:00,25,0,044,0,---,
8960,0,Sylvenstein,Isar,2021-08-20 16:00:00,256,0,192,0,---,
8961,1,Lenggries,Isar,2021-08-20 16:00:00,119,-1,236,0,---,
8962,2,Bad Tölz Brücke,Isar,2021-08-20 16:00:00,69,-2,---,0,---,
8963,3,Puppling,Isar,2021-08-20 16:00:00,145,0,564,0,---,
8964,4,München,Isar,2021-08-20 16:00:00,139,-1,103,0,---,
8965,5,Freising,Isar,2021-08-20 16:00:00,44,-1,255,0,---,
8966,6,Landshut Birket,Isar,2021-08-20 16:00:00,135,0,185,0,---,
8967,7,Landau,Isar,2021-08-20 16:00:00,124,-4,215,0,---,
8968,8,Plattling,Isar,2021-08-20 16:00:00,207,-5,203,0,---,
8969,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 16:00:00,101,0,872,0,---,
8970,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 16:00:00,158,0,269,0,---,
8971,11,Schlehdorf,Loisach,2021-08-20 16:00:00,113,-1,247,0,---,
8972,12,Kochel,Loisach,2021-08-20 16:00:00,121,0,677,0,---,
8973,13,Beuerberg,Loisach,2021-08-20 16:00:00,341,1,615,0,---,
8974,14,Partenkirchen (alt),Partnach,2021-08-20 16:00:00,52,0,404,0,---,
8975,15,Stegen,Ammersee,2021-08-20 16:00:00,53309,0,---,0,---,
8976,16,Stegen,Amper,2021-08-20 16:00:00,135,0,289,0,---,
8977,17,Fürstenfeldbruck,Amper,2021-08-20 16:00:00,90,0,321,0,---,
8978,18,Ampermoching,Amper,2021-08-20 16:00:00,216,0,478,0,---,
8979,19,Inkofen,Amper,2021-08-20 16:00:00,116,0,553,0,---,
8980,20,Oberammergau,Ammer,2021-08-20 16:00:00,49,-1,388,0,---,
8981,21,Peißenberg,Ammer,2021-08-20 16:00:00,67,0,679,0,---,
8982,22,Weilheim,Ammer,2021-08-20 16:00:00,54,0,124,0,---,
8983,23,Raisting,Rott,2021-08-20 16:00:00,40,0,038,0,---,
8984,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 16:00:00,62509,0,---,0,---,
8985,25,Leutstetten,Würm,2021-08-20 16:00:00,151,0,714,0,---,
8986,26,Hohenkammer,Glonn,2021-08-20 16:00:00,42,0,254,0,---,
8987,27,Berg,Sempt,2021-08-20 16:00:00,64,0,348,0,---,
8988,28,Eschenlohe Brücke,Loisach,2021-08-20 16:00:00,142,1,198,0,---,
8989,29,Starnberg,Starnberger See,2021-08-20 16:00:00,58451,0,---,0,---,
8990,30,Eching,Windach,2021-08-20 16:00:00,74,2,108,0,---,
8991,31,Oberfinning Speicherabgabe,Windach,2021-08-20 16:00:00,25,0,044,0,---,
8992,0,Sylvenstein,Isar,2021-08-20 17:00:00,256,0,192,0,---,
8993,1,Lenggries,Isar,2021-08-20 17:00:00,118,-1,228,0,---,
8994,2,Bad Tölz Brücke,Isar,2021-08-20 17:00:00,69,-1,---,0,---,
8995,3,Puppling,Isar,2021-08-20 17:00:00,144,-1,555,0,---,
8996,4,München,Isar,2021-08-20 17:00:00,139,0,103,0,---,
8997,5,Freising,Isar,2021-08-20 17:00:00,44,-1,255,0,---,
8998,6,Landshut Birket,Isar,2021-08-20 17:00:00,135,0,185,0,---,
8999,7,Landau,Isar,2021-08-20 17:00:00,123,-4,212,0,---,
9000,8,Plattling,Isar,2021-08-20 17:00:00,204,-7,197,0,---,
9001,9,Garmisch o. d. Partnachmündung,Loisach,2021-08-20 17:00:00,101,0,872,0,---,
9002,10,Garmisch u. d. Partnachmündung,Loisach,2021-08-20 17:00:00,158,0,269,0,---,
9003,11,Schlehdorf,Loisach,2021-08-20 17:00:00,113,0,247,0,---,
9004,12,Kochel,Loisach,2021-08-20 17:00:00,121,-1,677,0,---,
9005,13,Beuerberg,Loisach,2021-08-20 17:00:00,341,1,615,0,---,
9006,14,Partenkirchen (alt),Partnach,2021-08-20 17:00:00,53,1,427,0,---,
9007,15,Stegen,Ammersee,2021-08-20 17:00:00,53309,0,---,0,---,
9008,16,Stegen,Amper,2021-08-20 17:00:00,135,0,289,0,---,
9009,17,Fürstenfeldbruck,Amper,2021-08-20 17:00:00,90,1,321,0,---,
9010,18,Ampermoching,Amper,2021-08-20 17:00:00,215,-1,473,0,---,
9011,19,Inkofen,Amper,2021-08-20 17:00:00,115,-1,547,0,---,
9012,20,Oberammergau,Ammer,2021-08-20 17:00:00,50,1,410,0,---,
9013,21,Peißenberg,Ammer,2021-08-20 17:00:00,67,-2,679,0,---,
9014,22,Weilheim,Ammer,2021-08-20 17:00:00,54,-1,124,0,---,
9015,23,Raisting,Rott,2021-08-20 17:00:00,40,0,038,0,---,
9016,24,Oberfinning Seepegel,Windachspeicher,2021-08-20 17:00:00,62509,0,---,0,---,
